,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
4642,35.5,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.26,,,,21.0498323,105.7096541,1242.5,35.0,,,5e958eef208d0d6d76490e81,Đường Yên Vĩnh,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4643,85.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,20.9906471,105.707246,1700.0,20.0,,,,,2.0,Ngõ ngách,5e5501cceb80a7245175e258,Xã An Thượng
4644,50.7,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.6,,KXĐ,,20.998193,105.7192643,1622.4,32.0,,,,,2.0,Ngõ ngách,,
4645,30.4,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,20.979915,105.7325582,1100.0,36.1842105263158,,,,,2.0,Ngõ ngách,5e5501cceb80a7245175e25a,Xã La Phù
4646,41.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ đỏ,21.0651094,105.7160469,1480.0,36.097561,,,5e958eef208d0d6d76490e54,Đường Lai Xá,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4647,33.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông Nam,Sổ đỏ,20.979915,105.7325582,880.0,26.666667,,,,,,,5e5501cceb80a7245175e25a,Xã La Phù
4648,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Tây Bắc,Sổ đỏ,21.0468328,105.6769947,2340.0,39.0,,,5e958eef208d0d6d76490e72,Đường Tỉnh lộ 422,,,5e5501cceb80a7245175e252,Xã Vân Canh
4649,1.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Đã có sổ,21.0044646,105.717624,4.5,4.5,,,5e958eef208d0d6d76490e7c,Đường Vân Lũng,,,5e5501cceb80a7245175e259,Xã Vân Côn
4650,81.3,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.5,,Đông-Bắc,,21.0695919,105.703447,3577.2,44.0,,,5e958eef208d0d6d76490e47,Đường 422,7.0,Ngõ 3 ô tô tránh,,
4651,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Tây-Nam,,21.0695919,105.703447,1600.0,40.0,,,5e958eef208d0d6d76490e46,Đường 32,5.0,Ngõ 2 ô tô tránh,,
4652,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ đỏ,21.0468328,105.6769947,1975.0,39.5,,,5e958eef208d0d6d76490e72,Đường Tỉnh lộ 422,,,5e5501cceb80a7245175e252,Xã Vân Canh
4653,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0109475,105.7209091,2900.0,64.444444,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e257,Xã An Khánh
4654,30.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0568245,105.7288838,1170.0,39.0,,,5e958eef208d0d6d76490e6e,Đường Quốc lộ 32,,,5e5501cceb80a7245175e24c,Xã Di Trạch
4655,46.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Nam,Sổ đỏ,20.9943954,105.700115,1200.0,26.086957,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e258,Xã An Thượng
4656,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ hồng,21.0138269,105.6911121,1080.0,27.0,,,,,,,5e5501cceb80a7245175e256,Xã Song Phương
4657,72.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,1.0,,,Sổ hồng,21.0060607,105.6928443,1400.0,19.444444,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e256,Xã Song Phương
4658,126.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,6.0,,KXĐ,,20.9809737,105.7321831,4158.0,33.0,,,,,3.0,Ngõ 1 ô tô,5e5501cceb80a7245175e25a,Xã La Phù
4659,41.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.046958,105.7087128,2050.0,50.0,,,,,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4660,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.046958,105.7087128,2970.0,59.4,,,,,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4661,49.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Tây Bắc,Sổ hồng/ Sổ đỏ,21.0623667,105.7209301,3626.0,74.0,,,5e958eef208d0d6d76490e6e,Đường Quốc lộ 32,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4662,42.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0568245,105.7288838,2432.0,57.904762,,,5e958eef208d0d6d76490e6e,Đường Quốc lộ 32,,,5e5501cceb80a7245175e24c,Xã Di Trạch
4663,44.2,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,5.0,3.6,"Nội Thất Châu Âu, sang trọng và đẳng cấp.",Nam,Sổ đỏ chính chủ.,21.0468328,105.6769947,1720.0,38.914027149321264,,,5e958eef208d0d6d76490e47,Đường 422,,,5e5501cceb80a7245175e252,Xã Vân Canh
4664,146.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ đỏ,21.0635098,105.7196011,2400.0,16.438356,,,5e958eef208d0d6d76490e46,Đường 32,,,5e5501cceb80a7245175e25b,Xã Đông La
4665,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,KXĐ,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e47,Đường 422,11.0,Ngõ 4 ô tô trở lên,,
4666,38.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.33,,Tây-Bắc,,21.0695919,105.703447,,,,,,,3.0,Ngõ 1 ô tô,,
4667,52.5,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,Đông Nam,Sổ đỏ,21.0279052,105.7263152,,63.0,,,5e958eef208d0d6d76490e7b,Đường Vân Canh,,,5e5501cceb80a7245175e252,Xã Vân Canh
4668,186.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,8.0,,,,20.9704838,105.7204476,7998.0,33.0,,,,,,,5e5501cceb80a7245175e25b,Xã Đông La
4669,87.7,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,6.3,,Tây,,20.9916901,105.7014199,5349.7,61.0,,,5e958eef208d0d6d76490e4c,Đường 70,10.0,Ngõ 4 ô tô tránh,,
4670,73.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông Nam,Sổ đỏ,21.0697045,105.7036052,4160.0,56.986301,,,5e958eef208d0d6d76490e46,Đường 32,,,5e5501cceb80a7245175e248,Thị trấn Trạm Trôi
4671,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Tây Nam,Sổ đỏ,21.0138269,105.6911121,1400.0,20.0,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e258,Xã An Thượng
